row_index,group_id,dose_um,recording_id,control_recording_id,delta_log__isi_cv_mean,delta_log__isi_median_s,response_magnitude,response_percentile,predicted_dose_um_exploratory
0,2950,0.0,control_2950,control_2950,0.0,0.0,0.0,21.052631578947366,0.0
1,2950,3.0,diazepam3uM_2950,control_2950,0.0015396970827643575,-0.006826715324267204,0.04022945446791183,26.31578947368421,3.0
2,2950,10.0,diazepam10uM_2950,control_2950,-0.10421137652466583,-0.00828602357694062,0.6592618973147752,47.368421052631575,10.0
3,2950,30.0,diazepam30uM_2950,control_2950,-0.2193829143459659,0.07086703709176678,1.442371829080822,73.68421052631578,30.0
4,2950,50.0,diazepam50uM_2950,control_2950,-0.44098090657429745,0.6825513466381927,4.793461338963976,100.0,50.0
5,2953,0.0,control_2953,control_2953,0.0,0.0,0.0,21.052631578947366,0.0
6,2953,3.0,diazepam3uM_2953,control_2953,-0.0004304607012625139,-0.0737690095483941,0.4218586349342949,36.84210526315789,3.0
7,2953,10.0,diazepam10uM_2953,control_2953,-0.0113083917399448,-0.10426552512959159,0.6004993473576087,42.10526315789473,10.0
8,2953,30.0,diazepam30uM_2953,control_2953,-0.08329819168477004,0.09651822088889456,0.7621634246109417,57.89473684210527,14.333333333333334
9,2953,50.0,diazepam50uM_2953,control_2953,-0.22249669394857607,0.7942248019921849,4.753827786341315,94.73684210526315,50.0
10,2954,0.0,control_2954,control_2954,0.0,0.0,0.0,21.052631578947366,0.0
11,2954,3.0,diazepam3uM_2954,control_2954,0.02026141270861237,0.058102217896945474,0.35600656208600134,31.57894736842105,3.0
12,2954,10.0,diazepam10uM_2954,control_2954,0.03155866861697365,0.11107748172788756,0.6656808110284329,52.63157894736842,10.0
13,2954,30.0,diazepam30uM_2954,control_2954,-0.03622002470045127,0.6207399088988488,3.557065949334375,84.21052631578947,40.0
14,2954,50.0,diazepam50uM_2954,control_2954,-0.03300309268513246,0.6609360092641945,3.7853112702644856,89.47368421052632,50.0
15,2957,0.0,control_2957,control_2957,0.0,0.0,0.0,21.052631578947366,0.0
16,2957,3.0,diazepam3uM_2957,control_2957,-0.16876611454151558,-0.03142219880918873,1.0799406603281554,68.42105263157895,14.333333333333334
17,2957,10.0,diazepam10uM_2957,control_2957,-0.06229932326335097,-0.12271777436954057,0.8043631493372921,63.1578947368421,14.333333333333334
18,2957,50.0,diazepam50uM_2957,control_2957,-0.11991698615410895,-0.2594787736982219,1.665622361526712,78.94736842105263,40.0
